timestamp_ms,power_W
1759962737922,12.44
1759962738991,10.20
1759962740063,10.61
1759962741109,11.00
1759962742154,10.71
1759962743205,9.33
1759962744256,11.04
1759962745329,12.40
1759962746395,12.04
1759962747474,14.00
1759962748546,9.20
1759962749591,9.22
1759962750643,13.10
1759962751690,17.38
1759962752774,42.69
1759962753842,32.49
1759962754881,12.42
1759962755924,9.80
1759962756969,9.53
1759962758041,9.57
1759962759087,9.17
1759962760165,9.24
1759962761210,9.39
1759962762254,10.30
1759962763300,14.58
1759962764353,10.31
1759962765398,9.67
1759962766442,9.40
1759962767488,9.53
1759962768565,9.41
1759962769636,9.35
1759962770709,9.39
1759962771755,9.09
1759962772801,9.57
1759962773846,9.16
1759962774898,11.46
1759962775967,16.14
1759962777041,15.44
1759962778132,13.99
1759962779200,10.23
1759962780245,8.73
1759962781319,9.12
1759962782392,9.65
1759962783435,9.01
1759962784482,14.89
1759962785552,11.13
1759962786590,9.53
1759962787632,11.16
1759962788701,8.64
1759962789743,8.48
1759962790785,10.63
1759962791856,13.46
1759962792898,15.68
1759962793973,16.32
1759962795020,16.42
1759962796071,16.43
1759962797148,16.39
1759962798200,16.02
1759962799274,15.83
1759962800351,15.82
1759962801427,15.87
1759962802498,15.85
1759962803575,16.32
1759962804677,16.34
1759962805767,16.29
1759962806868,16.33
1759962807964,16.30
1759962809049,14.43
1759962810092,11.85
1759962811168,15.88
1759962812246,15.78
1759962813324,15.80
1759962814397,15.89
1759962815477,15.84
1759962816551,15.81
1759962817627,15.75
1759962818704,15.23
1759962819776,10.95
1759962820826,15.15
1759962821908,16.38
1759962823009,16.37
1759962824108,16.30
1759962825210,16.29
1759962826306,15.51
1759962827369,10.68
1759962828418,16.43
1759962829507,16.33
1759962830608,15.50
1759962831666,11.11
1759962832708,15.24
1759962833799,16.38
1759962834896,16.46
1759962835985,16.43
1759962837087,16.37
1759962838177,16.41
1759962839279,16.40
1759962840369,15.97
1759962841442,15.05
1759962842513,15.18
1759962843589,15.24
1759962844665,15.32
1759962845740,15.77
1759962846839,16.43
1759962847937,16.42
1759962849034,16.46
1759962850120,16.10
1759962851226,17.05
1759962852317,16.91
1759962853413,16.83
1759962854465,16.71
1759962855550,15.98
1759962856628,14.75
1759962857713,15.81
1759962858815,16.14
1759962859887,14.88
1759962860938,11.48
1759962862009,8.60
1759962863049,7.86
1759962864088,7.65
1759962865127,8.54
1759962866167,7.91
1759962867208,8.29
1759962868251,8.66
1759962869320,8.93
1759962870361,8.20
1759962871401,7.97
1759962872446,8.27
1759962873489,7.96
1759962874528,8.35
1759962875569,8.36
1759962876609,8.32
1759962877650,8.82
1759962878694,8.35
1759962879735,8.01
1759962880777,8.48
1759962881818,8.28
1759962882859,8.48
1759962883899,8.51
1759962884941,8.44
1759962885983,8.94
1759962887026,8.20
1759962888070,8.34
1759962889113,8.33
1759962890153,8.33
1759962891193,8.29
1759962892234,8.34
1759962893277,8.36
1759962894323,8.54
1759962895368,8.33
1759962896413,7.98
1759962897459,7.66
1759962898502,7.81
1759962899551,8.87
1759962900597,7.53
1759962901646,7.65
1759962902691,7.52
1759962903731,7.02
1759962904771,7.01
1759962905812,7.02
1759962906859,7.03
1759962907904,7.04
1759962908949,7.33
1759962909992,7.03
1759962911035,7.01
1759962912105,7.00
1759962913152,6.97
1759962914200,6.98
1759962915271,7.13
1759962916317,7.47
1759962917363,7.01
1759962918408,7.01
1759962919456,7.20
1759962920523,7.57
1759962921590,7.04
1759962922632,7.14
1759962923678,7.54
1759962924719,7.03
1759962925766,6.97
1759962926812,6.96
1759962927885,6.98
1759962928931,6.97
1759962929976,7.11
1759962931018,7.44
1759962932064,6.99
1759962933111,6.96
1759962934157,6.97
1759962935204,6.99
1759962936246,7.00
1759962937287,7.18
1759962938332,7.48
1759962939380,7.01
1759962940423,6.97
1759962941467,6.90
1759962942511,6.90
1759962943583,6.96
1759962944654,7.43
1759962945699,6.98
1759962946745,6.98
1759962947792,7.10
1759962948864,7.28
1759962949908,7.00
1759962950949,7.03
1759962951994,7.36
1759962953037,6.99
1759962954079,6.99
1759962955148,6.97
1759962956195,6.99
1759962957241,7.01
1759962958289,7.13
1759962959360,7.45
1759962960404,7.22
1759962961449,7.35
1759962962495,7.09
1759962963542,7.04
1759962964589,7.02
1759962965636,7.16
1759962966681,7.49
1759962967727,7.05
1759962968774,7.03
1759962969823,7.03
1759962970866,7.02
1759962971916,7.01
1759962972963,7.10
1759962974004,7.41
1759962975041,6.98
1759962976106,6.93
1759962977142,6.92
1759962978184,6.91
1759962979224,6.90
1759962980260,7.11
1759962981294,7.43
1759962982340,7.07
1759962983384,7.02
1759962984425,6.96
1759962985471,6.90
1759962986543,7.00
1759962987590,7.48
1759962988661,6.85
1759962989707,6.92
1759962990754,7.00
1759962991801,6.97
1759962992847,6.95
1759962993894,7.12
1759962994966,7.43
1759962996039,6.94
1759962997085,6.96
1759962998158,6.98
1759962999204,6.97
1759963000250,6.96
1759963001297,7.09
1759963002367,7.39
1759963003405,6.92
1759963004443,6.89
1759963005482,6.89
1759963006522,6.89
1759963007561,6.88
1759963008624,7.07
1759963009663,7.31
1759963010709,7.04
1759963011777,6.99
1759963012822,6.97
1759963013868,6.97
1759963014915,6.96
1759963015985,7.09
1759963017030,7.39
1759963018096,6.93
1759963019136,6.91
1759963020175,6.94
1759963021223,7.26
1759963022269,6.99
1759963023317,7.26
1759963024362,7.31
1759963025408,6.97
1759963026455,6.93
1759963027502,6.87
1759963028573,6.85
1759963029619,6.93
1759963030665,7.44
1759963031710,6.95
1759963032746,6.88
1759963033784,6.84
1759963034824,6.85
1759963035863,6.86
1759963036902,6.89
1759963037938,12.44
1759963038980,10.41
1759963040050,15.46
1759963041097,13.45
1759963042145,12.06
1759963043190,11.63
1759963044232,11.99
1759963045282,10.64
1759963046322,12.12
1759963047394,10.39
1759963048466,9.84
1759963049539,9.98
1759963050603,8.59
1759963051649,8.42
1759963052695,8.40
1759963053741,8.36
1759963054785,13.12
1759963055862,9.98
1759963056938,11.86
1759963058007,10.06
1759963059053,9.06
1759963060131,13.86
1759963061206,13.83
1759963062261,10.49
1759963063330,8.29
1759963064384,12.24
1759963065453,9.70
1759963066503,9.09
1759963067556,10.22
1759963068631,32.49
1759963069685,41.91
1759963070742,22.61
1759963071806,11.69
1759963072842,8.94
1759963073887,8.92
1759963074934,8.50
1759963075981,9.64
1759963077026,8.70
1759963078094,12.01
1759963079139,13.37
1759963080187,9.72
1759963081233,12.32
1759963082307,9.80
1759963083372,9.40
1759963084427,10.59
1759963085498,9.34
1759963086566,9.40
1759963087634,12.96
1759963088702,16.36
1759963089776,10.44
1759963090833,17.28
1759963091899,15.12
1759963092954,11.46
1759963094002,13.85
1759963095064,16.70
1759963096148,12.23
1759963097217,11.51
1759963098282,10.30
1759963099353,9.19
1759963100398,9.13
1759963101474,9.77
1759963102545,9.21
1759963103622,10.01
1759963104694,9.20
1759963105770,9.61
1759963106837,10.19
1759963107892,9.02
1759963108936,9.36
1759963109980,11.32
1759963111048,10.09
1759963112094,11.29
1759963113164,10.22
1759963114224,10.16
1759963115291,13.65
1759963116353,16.64
1759963117431,12.78
1759963118479,11.56
1759963119554,12.96
1759963120598,8.74
1759963121650,12.49
1759963122716,10.47
1759963123762,8.48
1759963124808,10.64
1759963125881,12.11
1759963126955,11.53
1759963127997,8.59
1759963129039,10.08
1759963130116,13.59
1759963131185,10.42
1759963132228,10.55
1759963133270,13.69
1759963134325,9.54
1759963135369,8.78
1759963136437,9.09
1759963137497,8.86
1759963138542,13.98
1759963139613,11.34
1759963140659,10.58
1759963141723,11.17
1759963142804,9.84
1759963143850,8.91
1759963144892,8.84
1759963145942,9.87
1759963146987,8.56
1759963148034,8.03
1759963149078,8.46
1759963150131,12.43
1759963151202,9.65
1759963152277,12.03
1759963153319,11.61
1759963154376,9.15
1759963155417,10.63
1759963156480,11.58
1759963157550,9.17
1759963158623,11.95
1759963159695,24.78
1759963160739,41.87
1759963161793,25.94
1759963162832,11.54
1759963163879,9.60
1759963164932,9.24
1759963165978,9.98
1759963167025,8.70
1759963168071,8.65
1759963169115,8.68
1759963170160,12.67
1759963171238,10.56
1759963172277,12.08
1759963173351,14.33
1759963174418,10.70
1759963175489,10.22
1759963176534,10.94
1759963177605,8.42
1759963178651,8.10
1759963179699,8.54
1759963180744,8.40
1759963181812,8.48
1759963182859,10.69
1759963183902,10.14
1759963184948,11.42
1759963186021,23.15
1759963187100,42.77
1759963188159,23.91
1759963189227,13.00
1759963190272,10.12
1759963191351,10.42
1759963192394,9.80
1759963193464,9.06
1759963194536,8.75
1759963195606,8.97
1759963196651,9.80
1759963197720,10.18
1759963198767,13.00
1759963199849,17.15
1759963200894,16.90
1759963201935,17.52
1759963203000,12.93
1759963204044,9.58
1759963205085,11.16
1759963206156,8.71
1759963207201,9.17
1759963208251,8.60
1759963209296,8.32
1759963210340,8.58
1759963211409,8.55
1759963212481,8.17
1759963213552,8.43
1759963214599,8.14
1759963215643,8.07
1759963216685,8.32
1759963217732,8.43
1759963218781,8.20
1759963219826,8.29
1759963220895,8.15
1759963221941,8.42
1759963222987,8.12
1759963224031,8.13
1759963225070,8.21
1759963226139,8.17
1759963227184,8.44
1759963228228,8.59
1759963229294,8.94
1759963230338,11.23
1759963231384,8.63
1759963232430,8.72
1759963233497,8.92
1759963234542,8.79
1759963235614,8.34
1759963236684,9.00
1759963237736,10.01
1759963238792,14.67
1759963239867,12.59
1759963240944,12.50
1759963242016,12.06
1759963243060,11.46
1759963244124,11.95
1759963245170,15.36
1759963246237,15.49
1759963247280,11.62
1759963248352,14.33
1759963249455,16.40
1759963250558,14.29
1759963251622,13.20
1759963252674,9.89
1759963253747,11.49
1759963254814,9.26
1759963255854,9.31
1759963256896,9.26
1759963257945,9.15
1759963258983,10.48
1759963260033,16.64
1759963261113,16.54
1759963262190,16.66
1759963263267,16.68
1759963264320,16.03
1759963265393,15.48
1759963266459,16.60
1759963267543,16.58
1759963268642,16.33
1759963269717,15.74
1759963270792,13.74
1759963271839,11.56
1759963272913,16.71
1759963273964,16.09
1759963275018,16.63
1759963276097,16.64
1759963277184,16.59
1759963278265,10.88
1759963279306,11.60
1759963280386,16.43
1759963281468,16.65
1759963282548,11.91
1759963283585,8.79
1759963284622,8.76
1759963285660,10.98
1759963286698,9.56
1759963287736,10.12
1759963288775,9.69
1759963289813,10.09
1759963290855,10.61
1759963291918,10.50
1759963292956,9.79
1759963293997,9.80
1759963295041,8.97
1759963296082,9.05
1759963297153,11.35
1759963298228,12.40
1759963299296,11.01
1759963300338,10.48
1759963301408,10.11
1759963302454,9.66
1759963303520,9.02
1759963304565,8.10
1759963305608,10.94
1759963306675,9.75
1759963307721,9.91
1759963308767,8.89
1759963309814,8.56
1759963310859,10.71
1759963311938,18.33
1759963312995,14.19
1759963314032,9.04
1759963315078,9.23
1759963316122,8.89
1759963317170,11.31
1759963318236,17.42
1759963319314,10.06
1759963320363,9.22
1759963321431,31.16
1759963322468,42.77
1759963323526,21.48
1759963324564,17.48
1759963325606,16.16
1759963326664,16.88
1759963327743,15.79
1759963328798,17.66
1759963329867,14.13
1759963330936,10.70
1759963332005,11.31
1759963333051,10.38
1759963334098,10.68
1759963335143,8.86
1759963336189,11.27
1759963337257,13.00
1759963338321,15.65
1759963339362,14.15
1759963340413,10.10
1759963341451,8.92
1759963342492,9.20
1759963343537,8.56
1759963344583,8.81
1759963345628,8.82
1759963346673,8.65
1759963347719,8.78
1759963348765,8.86
1759963349811,8.79
1759963350856,8.55
1759963351901,8.69
1759963352946,8.81
1759963353993,8.68
1759963355064,11.38
1759963356139,10.87
1759963357208,12.33
1759963358283,10.88
1759963359331,12.00
1759963360397,15.21
1759963361439,10.16
1759963362513,11.65
1759963363580,11.62
1759963364617,11.22
1759963365658,9.90
1759963366700,10.92
1759963367747,16.64
1759963368797,16.74
1759963369851,16.05
1759963370923,16.50
1759963371994,16.57
1759963373067,16.56
1759963374119,14.41
1759963375199,15.52
1759963376276,15.69
1759963377346,16.50
1759963378400,15.86
1759963379446,12.96
1759963380484,11.60
1759963381530,15.88
1759963382605,16.50
1759963383674,15.73
1759963384747,15.68
1759963385820,14.32
1759963386899,13.45
1759963387980,10.15
1759963389020,14.90
1759963390099,16.72
1759963391153,16.28
1759963392231,16.61
1759963393308,15.14
1759963394345,10.13
1759963395385,13.60
1759963396460,16.65
1759963397542,16.59
1759963398625,16.62
1759963399706,16.60
1759963400786,16.59
1759963401866,16.58
1759963402943,15.43
1759963403984,10.16
1759963405059,15.92
1759963406136,16.68
1759963407218,16.63
1759963408299,16.60
1759963409376,16.55
1759963410466,16.54
1759963411546,16.60
1759963412622,16.63
1759963413703,16.60
1759963414785,16.61
1759963415862,16.66
1759963416944,16.64
1759963418025,16.57
1759963419105,16.66
1759963420186,16.61
1759963421263,16.67
1759963422336,16.69
1759963423418,16.67
1759963424503,16.47
1759963425580,15.75
1759963426653,14.64
1759963427739,15.10
1759963428823,13.38
1759963429902,13.70
1759963430983,13.69
1759963432066,13.41
1759963433117,12.89
1759963434164,13.05
1759963435242,12.42
1759963436283,7.73
1759963437326,7.64
1759963438364,7.94
1759963439406,9.39
1759963440447,7.99
1759963441486,8.91
1759963442527,8.26
1759963443567,8.67
1759963444609,8.62
1759963445650,8.35
1759963446692,8.47
1759963447734,8.52
1759963448777,8.40
1759963449818,9.10
1759963450860,8.43
1759963451902,8.58
1759963452946,8.42
1759963453986,8.33
1759963455029,8.08
1759963456070,8.44
1759963457112,8.27
1759963458162,8.51
1759963459217,8.45
1759963460259,8.68
1759963461303,8.17
1759963462351,9.08
1759963463396,8.36
1759963464436,8.76
1759963465479,8.38
1759963466521,8.48
1759963467560,8.57
1759963468605,7.88
1759963469648,7.74
1759963470690,7.36
1759963471740,8.69
1759963472788,7.32
1759963473835,7.55
1759963474884,7.62
1759963475929,7.58
1759963476976,7.10
1759963478022,7.07
1759963479068,7.01
1759963480115,6.96
1759963481161,7.04
1759963482207,7.57
1759963483252,7.65
1759963484299,6.98
1759963485345,7.00
1759963486392,7.08
1759963487439,7.08
1759963488486,10.01
1759963489532,10.01
1759963490579,9.32
1759963491627,8.47
1759963492695,10.71
1759963493748,12.69
1759963494816,9.68
1759963495870,11.23
1759963496916,9.46
1759963497988,11.21
1759963499062,11.23
1759963500108,8.89
1759963501153,11.62
1759963502227,10.62
1759963503302,11.12
1759963504376,10.99
1759963505423,12.23
1759963506474,12.17
1759963507553,9.72
1759963508626,9.48
1759963509694,8.76
1759963510766,10.22
1759963511831,15.44
1759963512902,8.77
